mouse,0.7361,2.0934,6.4389,7.4166,-14.4972,8.5016,14.4926,1.707,0.8479
mouse,0.7306,2.0591,4.8131,6.0176,-11.606,-7.1036,-11.5632,1.7238,0.8764
mouse,0.7328,2.0711,4.3778,5.349,10.2322,6.4158,-10.742,1.6833,0.8431
mouse,0.734,2.0914,5.0645,6.0182,11.9601,7.6758,11.597,1.6781,0.8708
mouse,0.7312,2.071,4.4366,5.6395,-10.7961,-6.7554,10.8656,1.7063,0.8824
mouse,0.7396,2.1278,6.5632,7.1636,14.6118,8.3613,14.0423,1.6524,0.8667
mouse,0.7378,2.1146,5.8545,6.4326,12.5808,7.5097,13.4163,1.6643,0.871
mouse,0.734,2.082,5.269,6.0654,11.7363,7.1164,12.619,1.6935,0.8686
mouse,0.7402,2.137,4.6152,5.724,11.3747,7.9026,-10.9188,1.6346,0.8559
mouse,0.7359,2.1013,4.5063,5.8098,-10.9692,-6.8782,12.0839,1.6434,0.8447
mouse,0.7379,2.1188,4.6464,5.8105,-11.6755,-7.1487,-11.0509,1.629,0.8513
earpods,0.7118,2.6324,2.6125,3.333,6.309,4.698,-7.2135,1.2111,0.6186
remote,0.5088,1.1656,4.309,4.7872,9.3372,5.3756,10.3695,3.2855,0.9396
remote,0.4993,1.1389,5.15,5.6074,10.9878,6.1818,-12.0348,3.462,0.9743
mouse,0.7666,2.4415,4.1321,5.5542,11.6062,-7.5609,10.3983,1.4412,0.8052
mouse,0.7481,2.2042,4.6817,5.9031,-11.7666,-7.4019,11.2117,1.5847,0.8311
mouse,0.7499,2.2471,5.6522,7.0472,13.4694,-8.5843,-13.6702,1.5846,0.9062
box,0.7832,2.9503,5.9284,7.0451,13.6118,8.6982,-13.7875,1.1926,0.8708
box,0.7832,2.9512,5.9342,7.0459,13.6134,8.6977,-13.7975,1.1926,0.8708
box,0.7638,2.5339,6.5561,7.4528,-14.5388,-8.7333,-14.7092,1.3374,0.9118
box,0.7644,2.5455,5.6163,6.7327,-12.9147,-8.0055,-13.6398,1.3341,0.9115
box,0.7626,2.5190,6.4106,7.1098,-14.3152,-9.9657,13.8999,1.2879,0.8686
box,0.7635,2.5597,4.8299,7.1506,-13.1444,-8.9390,14.0402,1.2274,0.8351
box,0.7647,2.7337,4.8576,5.7759,-11.4623,-7.1610,11.1364,1.1255,0.8372
mouse,0.7278,2.0363,5.3608,6.1428,11.9601,7.3875,12.1867,1.7443,0.8714
mouse,0.7311,2.0624,5.3968,6.1196,11.8911,7.2194,-12.4913,1.7058,0.8685
mouse,0.7294,2.0534,5.0476,5.9694,11.7789,7.5740,11.5404,1.7273,0.8792
controller,0.6866,2.0953,3.0336,3.9203,-7.4053,-4.9827,-8.1179,1.3405,0.7405
earpods,0.7687,3.3927,3.2324,4.6843,8.7909,6.4871,-8.7954,1.1059,0.7276
remote,0.4977,1.1360,4.3508,4.7771,9.3414,5.3471,-10.7087,3.3356,0.9322
controller,0.6885,2.0890,3.1033,3.9839,-7.5275,-5.0285,9.3328,1.3774,0.7646
mouse,0.7220,2.0111,4.3376,5.4215,10.5147,6.6886,-10.4026,1.7365,0.8622
